Dataset 'mnist' | Train: 54000 | Val: 6000 | Test: 10000
Epoch   1/50 | Loss: 0.5527 | Train Acc: 0.9237 | Val Acc: 0.9200
Epoch   2/50 | Loss: 0.2366 | Train Acc: 0.9448 | Val Acc: 0.9398
Epoch   3/50 | Loss: 0.1852 | Train Acc: 0.9584 | Val Acc: 0.9522
Epoch   4/50 | Loss: 0.1553 | Train Acc: 0.9649 | Val Acc: 0.9582
Epoch   5/50 | Loss: 0.1339 | Train Acc: 0.9688 | Val Acc: 0.9628
Epoch   6/50 | Loss: 0.1190 | Train Acc: 0.9731 | Val Acc: 0.9645
Epoch   7/50 | Loss: 0.1068 | Train Acc: 0.9761 | Val Acc: 0.9665
Epoch   8/50 | Loss: 0.0975 | Train Acc: 0.9797 | Val Acc: 0.9675
Epoch   9/50 | Loss: 0.0894 | Train Acc: 0.9800 | Val Acc: 0.9678
Epoch  10/50 | Loss: 0.0838 | Train Acc: 0.9834 | Val Acc: 0.9703
Epoch  11/50 | Loss: 0.0780 | Train Acc: 0.9846 | Val Acc: 0.9715
Epoch  12/50 | Loss: 0.0741 | Train Acc: 0.9842 | Val Acc: 0.9717
Epoch  13/50 | Loss: 0.0689 | Train Acc: 0.9811 | Val Acc: 0.9665
Epoch  14/50 | Loss: 0.0667 | Train Acc: 0.9858 | Val Acc: 0.9688
Epoch  15/50 | Loss: 0.0628 | Train Acc: 0.9840 | Val Acc: 0.9712
Epoch  16/50 | Loss: 0.0604 | Train Acc: 0.9850 | Val Acc: 0.9683
Epoch  17/50 | Loss: 0.0585 | Train Acc: 0.9856 | Val Acc: 0.9707
Epoch  18/50 | Loss: 0.0558 | Train Acc: 0.9882 | Val Acc: 0.9712
Epoch  19/50 | Loss: 0.0529 | Train Acc: 0.9889 | Val Acc: 0.9715
Epoch  20/50 | Loss: 0.0516 | Train Acc: 0.9914 | Val Acc: 0.9758
Epoch  21/50 | Loss: 0.0501 | Train Acc: 0.9909 | Val Acc: 0.9740
Epoch  22/50 | Loss: 0.0485 | Train Acc: 0.9910 | Val Acc: 0.9738
Epoch  23/50 | Loss: 0.0464 | Train Acc: 0.9902 | Val Acc: 0.9742
Epoch  24/50 | Loss: 0.0452 | Train Acc: 0.9915 | Val Acc: 0.9748
Epoch  25/50 | Loss: 0.0443 | Train Acc: 0.9926 | Val Acc: 0.9760
Epoch  26/50 | Loss: 0.0429 | Train Acc: 0.9925 | Val Acc: 0.9747
Epoch  27/50 | Loss: 0.0428 | Train Acc: 0.9916 | Val Acc: 0.9732
Epoch  28/50 | Loss: 0.0407 | Train Acc: 0.9924 | Val Acc: 0.9740
Epoch  29/50 | Loss: 0.0406 | Train Acc: 0.9929 | Val Acc: 0.9742
Epoch  30/50 | Loss: 0.0390 | Train Acc: 0.9920 | Val Acc: 0.9740
Epoch  31/50 | Loss: 0.0392 | Train Acc: 0.9901 | Val Acc: 0.9730
Epoch  32/50 | Loss: 0.0379 | Train Acc: 0.9933 | Val Acc: 0.9735
Epoch  33/50 | Loss: 0.0377 | Train Acc: 0.9950 | Val Acc: 0.9768
Epoch  34/50 | Loss: 0.0365 | Train Acc: 0.9943 | Val Acc: 0.9763
Epoch  35/50 | Loss: 0.0361 | Train Acc: 0.9941 | Val Acc: 0.9760
Epoch  36/50 | Loss: 0.0356 | Train Acc: 0.9949 | Val Acc: 0.9770
Epoch  37/50 | Loss: 0.0357 | Train Acc: 0.9947 | Val Acc: 0.9767
Epoch  38/50 | Loss: 0.0343 | Train Acc: 0.9948 | Val Acc: 0.9770
Epoch  39/50 | Loss: 0.0344 | Train Acc: 0.9952 | Val Acc: 0.9767
Epoch  40/50 | Loss: 0.0338 | Train Acc: 0.9949 | Val Acc: 0.9727
Epoch  41/50 | Loss: 0.0328 | Train Acc: 0.9945 | Val Acc: 0.9748
Epoch  42/50 | Loss: 0.0333 | Train Acc: 0.9947 | Val Acc: 0.9723
Epoch  43/50 | Loss: 0.0325 | Train Acc: 0.9969 | Val Acc: 0.9762
Epoch  44/50 | Loss: 0.0328 | Train Acc: 0.9941 | Val Acc: 0.9742
Epoch  45/50 | Loss: 0.0321 | Train Acc: 0.9960 | Val Acc: 0.9752
Epoch  46/50 | Loss: 0.0320 | Train Acc: 0.9943 | Val Acc: 0.9718
Epoch  47/50 | Loss: 0.0313 | Train Acc: 0.9963 | Val Acc: 0.9767
Epoch  48/50 | Loss: 0.0305 | Train Acc: 0.9946 | Val Acc: 0.9747
Epoch  49/50 | Loss: 0.0315 | Train Acc: 0.9970 | Val Acc: 0.9760
Epoch  50/50 | Loss: 0.0305 | Train Acc: 0.9939 | Val Acc: 0.9728

Best val acc: 0.9770 at epoch 36
Test Accuracy: 0.9753
